id,FEMALE,studyethraw,ETHN_CMP,do1,do2,do3,do4,do5,do6,do7,psolv1,psolv2,psolv3,psolv4,psolv5,psolv6,psolv7,psolv8,SOC_STRS,BOTHR_U,negmood1,posmood1
26116,0,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26124,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26201,0,4,4,0,0,0,0,1,NA,0,0,1,1,1,0,0,1,1,0,2,1.2,3.2
26202,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26204,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26211,0,5,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,3.4
26224,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26229,0,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26301,1,4,4,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1.6,3.6
26304,1,8,5,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,1,3.6
26306,0,5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1.4,2.6
26307,0,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26308,1,3,3,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1.6,2.8
26309,0,5,2,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,3,1.6,3.4
26401,1,8,5,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,3,2.4,3
26402,1,5,2,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,4,2.2,2
26403,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.6
26406,1,7,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1.4,3
26407,1,4,4,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,4
26410,0,4,4,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,5,1.2,3.8
26411,0,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26412,1,8,5,0,0,1,1,1,1,0,1,0,0,0,0,NA,1,1,1,4,3,2
